2023-2024 Season Weekly Team Prediction
---------------------Week 2--------------------------
FWD
name,total_points,Predicted Total Points
Bernd Leno,3,4.162190829797843
---------------------Week 12--------------------------
FWD
name,total_points,Predicted Total Points
Erling Haaland,16,5.667790552219497
Nicolas Jackson,5,5.1549719266486305
Julián Álvarez,5,4.6856056127305115
MID
name,total_points,Predicted Total Points
Jarrod Bowen,8,6.547491437527743
Cole Palmer,6,6.093852292364079
Alejandro Garnacho,3,4.960664309241086
Son Heung-min,2,4.591925927211654
Dominik Szoboszlai,3,4.435500210542635
DEF
name,total_points,Predicted Total Points
Cristian Romero,0,4.88108101158101
Diogo Dalot Teixeira,6,3.9313216228216237
Joe Gomez,0,3.68356955233362
Pedro Porro,5,3.5174844393079714
Lucas Digne,2,3.4834911470997243
GK
name,total_points,Predicted Total Points
Bart Verbruggen,0,5.949704687455269
Mark Flekken,3,4.390350036434662
---------------------Week 13--------------------------
FWD
name,total_points,Predicted Total Points
Erling Haaland,7,5.882035948785583
Darwin Núñez Ribeiro,1,5.846096180630848
Nicolas Jackson,2,5.547846092492587
MID
name,total_points,Predicted Total Points
Mohamed Salah,5,7.091415465824882
James Ward-Prowse,2,6.35809004606686
Cole Palmer,2,5.3379014382192835
Bryan Mbeumo,2,5.228082209453752
Bernardo Veiga de Carvalho e Silva,1,4.7196370155609095
DEF
name,total_points,Predicted Total Points
Konstantinos Tsimikas,2,6.368043269910917
Trent Alexander-Arnold,8,5.15691316091316
Antonee Robinson,4,4.794884704620002
Sergio Reguilón,0,4.774618808479107
Diogo Dalot Teixeira,12,4.606732006840124
GK
name,total_points,Predicted Total Points
Jason Steele,0,4.544629531540416
Robert Sánchez,0,4.454135773994642
---------------------Week 14--------------------------
FWD
name,total_points,Predicted Total Points
Erling Haaland,7,7.700123929611448
Gabriel Fernando de Jesus,2,5.893972740448934
Anthony Martial,2,5.008266951921183
MID
name,total_points,Predicted Total Points
Morgan Gibbs-White,2,5.60417263053242
Jérémy Doku,1,5.555184114608429
Willian Borges da Silva,1,5.351377558967539
Marcus Tavernier,2,5.305992690529073
Justin Kluivert,1,5.161205091501955
DEF
name,total_points,Predicted Total Points
Diogo Dalot Teixeira,2,6.176032014282012
Oleksandr Zinchenko,5,5.812155182780184
Nathan Aké,1,4.860694554485191
Takehiro Tomiyasu,11,4.655509120509122
Manuel Akanji,1,4.585653241232476
GK
name,total_points,Predicted Total Points
Ederson Santana de Moraes,1,5.163370333278926
Aaron Ramsdale,0,4.426040808725996
---------------------Week 15--------------------------
FWD
name,total_points,Predicted Total Points
Zeki Amdouni,2,4.8926213018349785
Jay Rodriguez,2,4.603698840454606
Odsonne Edouard,1,4.41553284429483
MID
name,total_points,Predicted Total Points
Anthony Gordon,2,6.264321504599687
Luis Díaz,3,5.777619677597793
Enzo Fernández,2,5.369520459070093
Mohamed Salah,3,5.143368974584826
Leandro Trossard,1,5.04716733992576
DEF
name,total_points,Predicted Total Points
Kieran Trippier,1,5.619404796012384
Takehiro Tomiyasu,0,5.371838416514112
Diogo Dalot Teixeira,1,5.008865014615016
Charlie Taylor,1,4.665438858694198
Vitalii Mykolenko,6,4.080934660247161
GK
name,total_points,Predicted Total Points
Bernd Leno,6,4.9991580575518535
Robert Sánchez,11,4.790173479140564
---------------------Week 16--------------------------
FWD
name,total_points,Predicted Total Points
Erling Haaland,0,7.0042604580012755
Julián Álvarez,5,5.988474980985038
Raúl Jiménez,9,5.50945253373636
MID
name,total_points,Predicted Total Points
Scott McTominay,2,5.6406104887551525
Brennan Johnson,3,4.870153157993138
Andreas Hoelgebaum Pereira,6,4.682121691432548
Bryan Mbeumo,0,4.445242781928125
Dwight McNeil,3,4.381773460340744
DEF
name,total_points,Predicted Total Points
Trent Alexander-Arnold,4,6.409207179685356
Pedro Porro,5,3.8068657638657655
Fabian Schär,0,3.7150191275219115
Oleksandr Zinchenko,1,3.3646207439252205
Gabriel Osho,0,3.308635501725891
GK
name,total_points,Predicted Total Points
Thomas Kaminski,2,4.140002318562159
Guglielmo Vicario,2,4.126977737390857
---------------------Week 17--------------------------
FWD
name,total_points,Predicted Total Points
Cody Gakpo,1,5.415797234331065
Julián Álvarez,2,5.033063459509293
Erling Haaland,0,4.573069242886887
MID
name,total_points,Predicted Total Points
Son Heung-min,2,7.24324544741184
Pascal Groß,1,5.779075903609821
Jack Hinshelwood,2,4.54618221070465
Jarrod Bowen,8,4.366453677388507
Dejan Kulusevski,14,4.354250703185835
DEF
name,total_points,Predicted Total Points
Trent Alexander-Arnold,9,4.868946512136526
Pedro Porro,8,3.822793572168573
Neco Williams,1,3.6276555452762174
